id,address
109,서울특별시 노원구 월계동 산47-11
138,서울특별시 노원구 동일로 1008 (공릉동)
160,서울특별시 노원구 공릉로34길74
347,서울특별시 노원구 월계3동청소년아지트
348,서울특별시 노원구 월계3동1-7
519,서울특별시 동대문구 힌천로11길 18
545,서울특별시 동대문구 사가정로 103(전농동)
684,서울특별시 마포구 염리동 24-106
789,서울특별시 마포구 월드컵로42길 22 (상암동)
1433,서울특별시 관악구 원신길 260
1436,서울특별시 관악구 약수암길 33
1693,서울특별시 강서구 방화3동 54-5
1695,서울특별시 강서구 방화3동 53-11
1789,서울특별시 강서구 중앙대로 지하 163
1855,서울특별시 영등포구 영중로 지하 219(영등포역지하도상가)
1885,서울특별시 동작구 사당로23길 57-8
1887,서울특별시 동작구 장승배기로19라길 51
1902,서울특별시 동작구 상도동 산64-56
1942,서울특별시 동작구 장승배기로19라길 51
2002,서울특별시 동작구 상도동 633-23
2013,서울특별시 동작구 사당동 588-4 사당역(4호선)
2033,"서울특별시 영등포구 경인로 850(영등포동, 영등포민자역사)"
2034,"서울특별시 영등포구 경인로 858(영등포동, 영등포민자역사)"
2066,서울특별시 영등포구 양평2가 492
2088,"서울특별시 영등포구 대림로 197 (대림동, 대림3동주민센터)"
2398,서울특별시 동작구 상도동 산65-221
2399,서울특별시 동작구 상도동 산65-221
2431,서울특별시 강남구 광평로 301-4
2556,서울특별시 도곡로 435 (대치동)
2618,서울특별시 남부순환로 2763 (도곡동)
2659,서울특별시 중랑구 신내동 산6-91
2661,서울특별시 중랑구 신내동365-2
2670,서울특별시 광진구 동일로 323
2686,서울특별시 광진구 광나루로 570
2697,서울특별시 강남구 율현로77-9
2698,서울특별시 강남구 율현로77-9
2740,서울특별시 광진구 동일로28길 160
2741,서울특별시 광진구 동일로76나길 20
2804,서울특별시 중랑구 면목동 산16-2
3029,서울특별시 강남구 개포동428
3083,"서울특별시 중랑구 동일로 594, 주차장 내 지하 1층"
3086,서울특별시 중랑구 동일로136나길14
3090,서울특별시 중랑구 망우로 570
3096,서울특별시 중랑구 면목동51-50
3102,서울특별시 중랑구 묵동 산 141-1
3169,서울특별시 강남구 남부순환로 2907
3388,서울특별시 중랑구 중화1동 산9-5
3737,서울특별시 성북구 장위동 207-49
3747,서울특별시 도봉구 방학동 256-4
3766,서울특별시 도봉구 쌍문동 산241
4283,서울특별시 구로구 대림동 1050-17 대림역(7호선)
4285,서울특별시 구로구 오류동 174-6 천왕역
4449,없음
4861,서울특별시 용산구 서빙고로 299 (동빙고동)
4877,서울특별시 용산구 도원동 15-57
5110,서울특별시 용산구 효창원로 177-12
5120,서울특별시 용산구 이촌로75길 19
5947,"서울특별시 양천구 신정7동 171-58, 분수광장"
